Model size: 757K
Acc@10: 0.8570, Acc@20: 0.9720, Param Norm: 70.92, Grad Norm: 15.08
Acc@10: 0.9040, Acc@20: 0.9790, Param Norm: 71.14, Grad Norm: 11.77
Acc@10: 0.8980, Acc@20: 0.9840, Param Norm: 71.36, Grad Norm: 14.76
Acc@10: 0.8990, Acc@20: 0.9800, Param Norm: 71.51, Grad Norm: 10.49
Acc@10: 0.9330, Acc@20: 0.9780, Param Norm: 71.68, Grad Norm: 10.14
Acc@10: 0.8950, Acc@20: 0.9820, Param Norm: 71.85, Grad Norm: 9.71
Acc@10: 0.9130, Acc@20: 0.9740, Param Norm: 72.02, Grad Norm: 17.34
Acc@10: 0.9180, Acc@20: 0.9870, Param Norm: 72.18, Grad Norm: 9.21
Acc@10: 0.8820, Acc@20: 0.9770, Param Norm: 72.35, Grad Norm: 16.13
Acc@10: 0.8950, Acc@20: 0.9780, Param Norm: 72.53, Grad Norm: 11.27
Acc@10: 0.8960, Acc@20: 0.9800, Param Norm: 72.70, Grad Norm: 13.93
Acc@10: 0.9030, Acc@20: 0.9780, Param Norm: 72.88, Grad Norm: 15.22
Acc@10: 0.8970, Acc@20: 0.9860, Param Norm: 73.02, Grad Norm: 8.68
Model Saved!
Acc@10: 0.9070, Acc@20: 0.9860, Param Norm: 73.15, Grad Norm: 11.14
Acc@10: 0.9000, Acc@20: 0.9840, Param Norm: 73.27, Grad Norm: 8.74
Acc@10: 0.9140, Acc@20: 0.9840, Param Norm: 73.37, Grad Norm: 10.91
Acc@10: 0.8850, Acc@20: 0.9770, Param Norm: 73.50, Grad Norm: 12.45
Acc@10: 0.9120, Acc@20: 0.9880, Param Norm: 73.63, Grad Norm: 10.17
Acc@10: 0.9340, Acc@20: 0.9920, Param Norm: 73.76, Grad Norm: 10.71
Acc@10: 0.9080, Acc@20: 0.9770, Param Norm: 73.86, Grad Norm: 11.07
Acc@10: 0.9160, Acc@20: 0.9870, Param Norm: 74.00, Grad Norm: 9.80
Acc@10: 0.9050, Acc@20: 0.9840, Param Norm: 74.13, Grad Norm: 12.98
Acc@10: 0.9170, Acc@20: 0.9820, Param Norm: 74.26, Grad Norm: 9.75
Acc@10: 0.9120, Acc@20: 0.9860, Param Norm: 74.39, Grad Norm: 8.84
Acc@10: 0.9280, Acc@20: 0.9920, Param Norm: 74.52, Grad Norm: 8.52
Acc@10: 0.9170, Acc@20: 0.9830, Param Norm: 74.62, Grad Norm: 12.81
Acc@10: 0.9110, Acc@20: 0.9820, Param Norm: 74.73, Grad Norm: 10.47
Acc@10: 0.8920, Acc@20: 0.9820, Param Norm: 74.84, Grad Norm: 12.45
Acc@10: 0.9160, Acc@20: 0.9860, Param Norm: 74.96, Grad Norm: 9.16
Acc@10: 0.9390, Acc@20: 0.9900, Param Norm: 75.04, Grad Norm: 7.35
Acc@10: 0.9040, Acc@20: 0.9890, Param Norm: 75.15, Grad Norm: 8.73
Acc@10: 0.9350, Acc@20: 0.9870, Param Norm: 75.27, Grad Norm: 8.87
Acc@10: 0.9110, Acc@20: 0.9890, Param Norm: 75.36, Grad Norm: 7.17
Model Saved!
Acc@10: 0.8980, Acc@20: 0.9850, Param Norm: 75.49, Grad Norm: 11.30
Acc@10: 0.8940, Acc@20: 0.9810, Param Norm: 75.59, Grad Norm: 9.98
Acc@10: 0.8850, Acc@20: 0.9910, Param Norm: 75.70, Grad Norm: 6.90
Acc@10: 0.9230, Acc@20: 0.9900, Param Norm: 75.80, Grad Norm: 8.35
Acc@10: 0.9180, Acc@20: 0.9870, Param Norm: 75.87, Grad Norm: 5.94
Acc@10: 0.9070, Acc@20: 0.9870, Param Norm: 75.98, Grad Norm: 8.17
Acc@10: 0.9130, Acc@20: 0.9930, Param Norm: 76.06, Grad Norm: 7.20
Acc@10: 0.8960, Acc@20: 0.9870, Param Norm: 76.17, Grad Norm: 8.31
Acc@10: 0.9050, Acc@20: 0.9810, Param Norm: 76.27, Grad Norm: 8.43
Acc@10: 0.9280, Acc@20: 0.9940, Param Norm: 76.36, Grad Norm: 6.79
Acc@10: 0.9000, Acc@20: 0.9830, Param Norm: 76.43, Grad Norm: 8.34
Acc@10: 0.9310, Acc@20: 0.9900, Param Norm: 76.52, Grad Norm: 9.66
Acc@10: 0.9100, Acc@20: 0.9890, Param Norm: 76.60, Grad Norm: 5.03
Acc@10: 0.8990, Acc@20: 0.9840, Param Norm: 76.72, Grad Norm: 9.91
Acc@10: 0.9270, Acc@20: 0.9880, Param Norm: 76.82, Grad Norm: 9.66
Acc@10: 0.9270, Acc@20: 0.9900, Param Norm: 76.94, Grad Norm: 9.35
Acc@10: 0.9330, Acc@20: 0.9910, Param Norm: 77.01, Grad Norm: 8.80
Acc@10: 0.9280, Acc@20: 0.9910, Param Norm: 77.09, Grad Norm: 6.49
Acc@10: 0.9030, Acc@20: 0.9840, Param Norm: 77.18, Grad Norm: 10.74
Acc@10: 0.9070, Acc@20: 0.9910, Param Norm: 77.26, Grad Norm: 6.78
Model Saved!
Acc@10: 0.8920, Acc@20: 0.9870, Param Norm: 77.32, Grad Norm: 6.29
Acc@10: 0.9030, Acc@20: 0.9950, Param Norm: 77.41, Grad Norm: 6.80
Acc@10: 0.9280, Acc@20: 0.9860, Param Norm: 77.49, Grad Norm: 14.44
Acc@10: 0.9240, Acc@20: 0.9920, Param Norm: 77.57, Grad Norm: 7.40
Acc@10: 0.9270, Acc@20: 0.9900, Param Norm: 77.64, Grad Norm: 10.80
Acc@10: 0.9100, Acc@20: 0.9940, Param Norm: 77.70, Grad Norm: 5.51
Acc@10: 0.8970, Acc@20: 0.9810, Param Norm: 77.82, Grad Norm: 12.06
Acc@10: 0.9130, Acc@20: 0.9900, Param Norm: 77.92, Grad Norm: 8.03
Acc@10: 0.9180, Acc@20: 0.9940, Param Norm: 77.97, Grad Norm: 5.02
Acc@10: 0.9180, Acc@20: 0.9880, Param Norm: 78.03, Grad Norm: 7.73
Acc@10: 0.9050, Acc@20: 0.9940, Param Norm: 78.08, Grad Norm: 6.36
